FID,the_geom,OBJECTID,ECF_Code,ECF_Name,Status,Type,AdminCode,Beds_Open,Beds_Plan,Open_Date,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Updated,LabPresent,Country,Comment
sle_heal_pt_unmeer_ccc.21,POINT (-12.537105999841973 8.673595999855557),23,SLE_0052,Catholic Hospital (Mabesseneh),Open,EHC,SLE0204,9,9,1899-12-30T00:00:00,MoH/ Plan,GOSL,8.673596,-12.537106,,2014-11-16T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.22,POINT (-11.742938999735003 7.963985999654209),24,SLE_0053,Bo Gov. Hospital,Open,EHC,SLE0301,20,20,1899-12-30T00:00:00,MoH,GOSL,7.963986,-11.742939,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.23,POINT (-12.053673000408596 8.829238999879989),25,SLE_0054,Paramedical School,Open,EHC,SLE0201,60,60,1899-12-30T00:00:00,MoH,GOSL,8.829239,-12.053673,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.24,POINT (-12.052008000069101 8.86090299957382),26,SLE_0055,Arab Hospital,Open,EHC,SLE0201,60,60,1899-12-30T00:00:00,MoH,GOSL,8.860903,-12.052008,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.25,POINT (-12.04577899970103 8.887646999909167),27,SLE_0056,Makeni Gov. Hospital,Open,EHC,SLE0201,30,40,1899-12-30T00:00:00,MoH,GOSL,8.887647,-12.045779,,2014-11-19T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.26,POINT (-12.501954500299902 7.527274099819899),28,SLE_0057,Bonthe,Open,EHC,SLE0302,19,19,1899-12-30T00:00:00,MoH,GOSL,7.527274,-12.501955,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.27,POINT (-11.309097000226332 7.3212400000260285),29,SLE_0058,Zimmi,Open,EHC,SLE0304,12,12,1899-12-30T00:00:00,MoH,GOSL,7.32124,-11.309097,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.28,POINT (-11.718650000197306 7.350135999776617),30,SLE_0059,Pujehun Hospital,Open,EHC,SLE0304,12,12,1899-12-30T00:00:00,MoH,GOSL,7.350136,-11.71865,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.29,POINT (-11.938422999721613 8.720745999628228),31,SLE_0060,Magburaka Gov. Hospital,Open,EHC,SLE0205,50,50,1899-12-30T00:00:00,MoH,GOSL,8.720746,-11.938423,CDC Checked Coordinate,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.30,POINT (-11.832993000426582 8.414036000161326),32,SLE_0061,Yele Town PHU,Open,EHC,SLE0205,17,17,1899-12-30T00:00:00,MoH,GOSL,8.414036,-11.832993,,2014-12-08T00:00:00,No,Sierra Leone,
